amplitud_inicial;frecuencia_inicial;amplitud_final;frecuencia_final
0,64110873;3117,1875;1,460769308;3117,1875
0,890032538;3140,625;0,908529255;3140,625
0,485287808;3164,0625;0,688478715;3164,0625
0,743142684;3187,5;0,717450811;3187,5
1,104694415;3210,9375;0,563849947;3210,9375
0,936367679;3234,375;1,273998674;3234,375
1,059681648;3257,8125;0,689395152;3257,8125
1,002760449;3281,25;0,443277339;3281,25
0,981285917;3304,6875;0,289596456;3304,6875
0,843450709;3328,125;0,547243675;3328,125
0,188582071;3351,5625;0,989295889;3351,5625
0,297048429;3375;0,434256381;3375
0,567291215;3398,4375;0,240798494;3398,4375
0,950649527;3421,875;0,585227869;3421,875
1,611677885;3445,3125;0,312590421;3445,3125
0,47958964;3468,75;0,388749868;3468,75
1,115885809;3492,1875;0,151996822;3492,1875
0,962097336;3515,625;0,465731573;3515,625
0,706739372;3539,0625;0,120148275;3539,0625
1,819643435;3562,5;0,318973038;3562,5
0,520477164;3585,9375;0,191718825;3585,9375
1,346145544;3609,375;0,298974177;3609,375
1,029882295;3632,8125;0,410667454;3632,8125
0,35511143;3656,25;0,402077461;3656,25
2,441373291;3679,6875;0,362761574;3679,6875
2,019600674;3703,125;0,322690645;3703,125
1,06304967;3726,5625;0,723718006;3726,5625
2,65798474;3750;0,45969407;3750
1,266436143;3773,4375;1,139061886;3773,4375
0,090930043;3796,875;0,801925282;3796,875
0,412707024;3820,3125;1,076386979;3820,3125
0,783332496;3843,75;0,174160278;3843,75
0,692625364;3867,1875;1,257110293;3867,1875
0,625538019;3890,625;1,288878189;3890,625
0,230817363;3914,0625;0,33063398;3914,0625
0,171993134;3937,5;0,709996349;3937,5
0,402618734;3960,9375;0,607583205;3960,9375
0,405415287;3984,375;0,658000196;3984,375
0,380727595;4007,8125;0,448425045;4007,8125
0,511834308;4031,25;0,491099965;4031,25
1,345190949;4054,6875;0,834192298;4054,6875
0,301546728;4078,125;0,307186989;4078,125
1,091183389;4101,5625;0,3047788;4101,5625
0,999813859;4125;0,173307393;4125
0,161729535;4148,4375;0,336597164;4148,4375
0,356933318;4171,875;0,074905017;4171,875
0,092209483;4195,3125;0,326007382;4195,3125
0,090555893;4218,75;1,162286487;4218,75
0,253000784;4242,1875;0,882753759;4242,1875
0,227411019;4265,625;0,144885024;4265,625
0,280471654;4289,0625;0,358475791;4289,0625
0,255485938;4312,5;0,44848661;4312,5
0,292972371;4335,9375;0,943550926;4335,9375
0,408537063;4359,375;1,576484631;4359,375
0,154479373;4382,8125;1,799656702;4382,8125
0,148004077;4406,25;2,065966245;4406,25
0,095742818;4429,6875;1,463800958;4429,6875
0,253955141;4453,125;1,829091113;4453,125
0,334375865;4476,5625;0,46405771;4476,5625
0,292212942;4500;0,564461186;4500
0,182798209;4523,4375;0,944392095;4523,4375
0,268349524;4546,875;0,843399755;4546,875
0,199174328;4570,3125;0,694368547;4570,3125
0,164343085;4593,75;1,261116703;4593,75
0,181246944;4617,1875;0,840722815;4617,1875
0,486924262;4640,625;1,440101414;4640,625
0,352597586;4664,0625;0,829512515;4664,0625
0,163776728;4687,5;0,574401684;4687,5
0,317968077;4710,9375;0,252928457;4710,9375
0,068307333;4734,375;0,501447863;4734,375
0,190054806;4757,8125;0,897506531;4757,8125
0,332730343;4781,25;0,367350922;4781,25
0,159643139;4804,6875;0,626944496;4804,6875
0,260263891;4828,125;0,714004293;4828,125
0,242451369;4851,5625;0,156200047;4851,5625
0,242816438;4875;0,250681786;4875
0,39852772;4898,4375;0,39138246;4898,4375
0,0816544;4921,875;0,206088716;4921,875
0,154147471;4945,3125;0,641845703;4945,3125
0,058479346;4968,75;0,688200163;4968,75
0,0985029;4992,1875;0,42428538;4992,1875
0,066253943;5015,625;0,209341991;5015,625
0,256950582;5039,0625;0,263714462;5039,0625
0,272710628;5062,5;0,432247348;5062,5
0,278139374;5085,9375;0,809418029;5085,9375
0,07938212;5109,375;0,716090099;5109,375
0,182077562;5132,8125;0,160652381;5132,8125
0,251339481;5156,25;0,122487591;5156,25
0,154262222;5179,6875;0,84497104;5179,6875
0,113276691;5203,125;0,812361366;5203,125
0,351689727;5226,5625;0,617077905;5226,5625
0,124998473;5250;0,669882574;5250
0,18574201;5273,4375;0,543672055;5273,4375
0,247988414;5296,875;0,190943771;5296,875
0,158072918;5320,3125;0,65334115;5320,3125
0,075165697;5343,75;0,354645974;5343,75
0,127936582;5367,1875;0,628552236;5367,1875
0,303000504;5390,625;1,115831248;5390,625
0,166430038;5414,0625;0,858284833;5414,0625
0,248700208;5437,5;0,13039512;5437,5
0,172414795;5460,9375;0,564094226;5460,9375
0,131396199;5484,375;0,107870313;5484,375
0,124000422;5507,8125;0,544240234;5507,8125
0,400893478;5531,25;0,556958399;5531,25
0,14092676;5554,6875;0,457278542;5554,6875
0,173993416;5578,125;0,634304441;5578,125
0,02563685;5601,5625;0,552847537;5601,5625
0,240327782;5625;0,279287747;5625
0,338285667;5648,4375;0,114447176;5648,4375
0,420218403;5671,875;0,250457515;5671,875
0,538787666;5695,3125;0,636502419;5695,3125
0,475422852;5718,75;0,587340294;5718,75
0,3621331;5742,1875;0,504794888;5742,1875
0,218117055;5765,625;0,96075571;5765,625
0,572770218;5789,0625;0,643704205;5789,0625
0,23011618;5812,5;0,367935098;5812,5
0,271667629;5835,9375;0,042871243;5835,9375
0,14557009;5859,375;0,400299723;5859,375
0,06738817;5882,8125;0,560867368;5882,8125
0,156443883;5906,25;0,594682876;5906,25
0,112059765;5929,6875;0,531669336;5929,6875
0,0625002;5953,125;0,914940144;5953,125
0,521655784;5976,5625;0,350440808;5976,5625
0,262281492;6000;0,289977351;6000
0,216330607;6023,4375;0,332891833;6023,4375
0,108394017;6046,875;0,09458854;6046,875
