amplitud_inicial,frecuencia_inicial,amplitud_final,frecuencia_final,gasto_estimado
0.209769031,2320.3125,0.093809534,2320.3125,0.24089314
0.22279393,2343.75,0.191578146,2343.75,0.240776
0.110898353,2367.1875,0.506690065,2367.1875,0.24065857
0.141138374,2390.625,0.128291481,2390.625,0.24054134
0.215921515,2414.0625,0.414931313,2414.0625,0.24039914
0.428721682,2437.5,0.417142566,2437.5,0.24023734
0.664211236,2460.9375,0.232040076,2460.9375,0.2400763
0.626037183,2484.375,0.543879468,2484.375,0.23992115
0.181333064,2507.8125,0.178507307,2507.8125,0.23978086
0.429852196,2531.25,1.2169292,2531.25,0.23963127
0.684932237,2554.6875,1.80058716,2554.6875,0.2394839
0.767312912,2578.125,1.857760187,2578.125,0.2393397
0.489423904,2601.5625,1.360756524,2601.5625,0.23919949
1.70683056,2625.0,0.53845512,2625.0,0.23905571
0.284953743,2648.4375,1.50107745,2648.4375,0.23891225
0.173178435,2671.875,1.338185309,2671.875,0.23878329
0.107441249,2695.3125,1.66287477,2695.3125,0.2386636
0.532813752,2718.75,0.817517044,2718.75,0.23854731
0.792311673,2742.1875,0.873784329,2742.1875,0.23842774
0.966454647,2765.625,0.484499746,2765.625,0.238309
0.897072542,2789.0625,0.729892387,2789.0625,0.23818229
0.98876793,2812.5,0.269497885,2812.5,0.23805621
0.533848385,2835.9375,0.488142152,2835.9375,0.23792914
1.569603795,2859.375,1.049361791,2859.375,0.2377955
0.494727659,2882.8125,0.170218942,2882.8125,0.2376743
1.028176981,2906.25,0.623820926,2906.25,0.23754016
0.457473644,2929.6875,0.541047771,2929.6875,0.23741226
1.478144316,2953.125,0.602059658,2953.125,0.23727827
1.855613668,2976.5625,0.320028126,2976.5625,0.23714806
0.40767954,3000.0,0.654692909,3000.0,0.23702122
0.302682561,3023.4375,0.378993159,3023.4375,0.23689263
0.700551134,3046.875,2.062099592,3046.875,0.23675324
0.629158582,3070.3125,0.744281887,3070.3125,0.23662937
0.799045414,3093.75,0.415307633,3093.75,0.23650008
0.64110873,3117.1875,1.460769308,3117.1875,0.23636554
0.890032538,3140.625,0.908529255,3140.625,0.23623702
0.485287808,3164.0625,0.688478715,3164.0625,0.2361092
0.743142684,3187.5,0.717450811,3187.5,0.23597795
1.104694415,3210.9375,0.563849947,3210.9375,0.2358472
0.936367679,3234.375,1.273998674,3234.375,0.23571426
1.059681648,3257.8125,0.689395152,3257.8125,0.23558632
1.002760449,3281.25,0.443277339,3281.25,0.23545742
0.981285917,3304.6875,0.289596456,3304.6875,0.23532654
0.843450709,3328.125,0.547243675,3328.125,0.2351865
0.188582071,3351.5625,0.989295889,3351.5625,0.23504761
0.297048429,3375.0,0.434256381,3375.0,0.23491032
0.567291215,3398.4375,0.240798494,3398.4375,0.23477079
0.950649527,3421.875,0.585227869,3421.875,0.2346295
1.611677885,3445.3125,0.312590421,3445.3125,0.2345174
0.47958964,3468.75,0.388749868,3468.75,0.23440939
1.115885809,3492.1875,0.151996822,3492.1875,0.23427205
0.962097336,3515.625,0.465731573,3515.625,0.23413382
0.706739372,3539.0625,0.120148275,3539.0625,0.2339992
1.819643435,3562.5,0.318973038,3562.5,0.23385678
0.520477164,3585.9375,0.191718825,3585.9375,0.233725
1.346145544,3609.375,0.298974177,3609.375,0.23356922
1.029882295,3632.8125,0.410667454,3632.8125,0.23340796
0.35511143,3656.25,0.402077461,3656.25,0.2332489
2.441373291,3679.6875,0.362761574,3679.6875,0.23307773
2.019600674,3703.125,0.322690645,3703.125,0.2329298
1.06304967,3726.5625,0.723718006,3726.5625,0.23279445
2.65798474,3750.0,0.45969407,3750.0,0.2326616
1.266436143,3773.4375,1.139061886,3773.4375,0.23253623
0.090930043,3796.875,0.801925282,3796.875,0.23241131
0.412707024,3820.3125,1.076386979,3820.3125,0.23227364
0.783332496,3843.75,0.174160278,3843.75,0.23214197
0.692625364,3867.1875,1.257110293,3867.1875,0.23200172
0.625538019,3890.625,1.288878189,3890.625,0.2318669
0.230817363,3914.0625,0.33063398,3914.0625,0.2317386
0.171993134,3937.5,0.709996349,3937.5,0.23160191
0.402618734,3960.9375,0.607583205,3960.9375,0.23145579
0.405415287,3984.375,0.658000196,3984.375,0.2313043
0.380727595,4007.8125,0.448425045,4007.8125,0.23115431
0.511834308,4031.25,0.491099965,4031.25,0.23100232
1.345190949,4054.6875,0.834192298,4054.6875,0.23084572
0.301546728,4078.125,0.307186989,4078.125,0.23070177
1.091183389,4101.5625,0.3047788,4101.5625,0.23054719
0.999813859,4125.0,0.173307393,4125.0,0.23039708
0.161729535,4148.4375,0.336597164,4148.4375,0.23024862
0.356933318,4171.875,0.074905017,4171.875,0.23009793
0.092209483,4195.3125,0.326007382,4195.3125,0.22994657
0.090555893,4218.75,1.162286487,4218.75,0.22979921
0.253000784,4242.1875,0.882753759,4242.1875,0.22966158
0.227411019,4265.625,0.144885024,4265.625,0.22952683
0.280471654,4289.0625,0.358475791,4289.0625,0.2293874
0.255485938,4312.5,0.44848661,4312.5,0.22924885
0.292972371,4335.9375,0.943550926,4335.9375,0.22909334
0.408537063,4359.375,1.576484631,4359.375,0.2289357
0.154479373,4382.8125,1.799656702,4382.8125,0.22878154
0.148004077,4406.25,2.065966245,4406.25,0.22862609
0.095742818,4429.6875,1.463800958,4429.6875,0.2284748
0.253955141,4453.125,1.829091113,4453.125,0.2283182
0.334375865,4476.5625,0.46405771,4476.5625,0.22816981
0.292212942,4500.0,0.564461186,4500.0,0.22801529
0.182798209,4523.4375,0.944392095,4523.4375,0.22785977
0.268349524,4546.875,0.843399755,4546.875,0.2277056
0.199174328,4570.3125,0.694368547,4570.3125,0.22755232
0.164343085,4593.75,1.261116703,4593.75,0.22739564
0.181246944,4617.1875,0.840722815,4617.1875,0.22724323
0.486924262,4640.625,1.440101414,4640.625,0.22708492
0.352597586,4664.0625,0.829512515,4664.0625,0.22693403
0.163776728,4687.5,0.574401684,4687.5,0.22678176
0.317968077,4710.9375,0.252928457,4710.9375,0.22662829
0.068307333,4734.375,0.501447863,4734.375,0.22647399
0.190054806,4757.8125,0.897506531,4757.8125,0.2263174
0.332730343,4781.25,0.367350922,4781.25,0.22616494
0.159643139,4804.6875,0.626944496,4804.6875,0.22601025
0.260263891,4828.125,0.714004293,4828.125,0.22585517
0.242451369,4851.5625,0.156200047,4851.5625,0.22571713
0.242816438,4875.0,0.250681786,4875.0,0.22557819
0.39852772,4898.4375,0.39138246,4898.4375,0.22543839
0.0816544,4921.875,0.206088716,4921.875,0.22529858
0.154147471,4945.3125,0.641845703,4945.3125,0.22515331
0.058479346,4968.75,0.688200163,4968.75,0.22501054
0.0985029,4992.1875,0.42428538,4992.1875,0.22486857
0.066253943,5015.625,0.209341991,5015.625,0.22473173
0.256950582,5039.0625,0.263714462,5039.0625,0.22459625
0.272710628,5062.5,0.432247348,5062.5,0.22446105
0.278139374,5085.9375,0.809418029,5085.9375,0.22432509
0.07938212,5109.375,0.716090099,5109.375,0.22419183
0.182077562,5132.8125,0.160652381,5132.8125,0.22405909
0.251339481,5156.25,0.122487591,5156.25,0.22392447
0.154262222,5179.6875,0.84497104,5179.6875,0.22378759
0.113276691,5203.125,0.812361366,5203.125,0.22365342
0.351689727,5226.5625,0.617077905,5226.5625,0.22351871
0.124998473,5250.0,0.669882574,5250.0,0.22338499
0.18574201,5273.4375,0.543672055,5273.4375,0.22325075
0.247988414,5296.875,0.190943771,5296.875,0.2231174
0.158072918,5320.3125,0.65334115,5320.3125,0.2229815
0.075165697,5343.75,0.354645974,5343.75,0.22284855
0.127936582,5367.1875,0.628552236,5367.1875,0.22271279
0.303000504,5390.625,1.115831248,5390.625,0.22257568
0.166430038,5414.0625,0.858284833,5414.0625,0.22244279
0.248700208,5437.5,0.13039512,5437.5,0.22231081
0.172414795,5460.9375,0.564094226,5460.9375,0.22217497
0.131396199,5484.375,0.107870313,5484.375,0.22204246
0.124000422,5507.8125,0.544240234,5507.8125,0.2219063
0.400893478,5531.25,0.556958399,5531.25,0.22177063
0.14092676,5554.6875,0.457278542,5554.6875,0.22163765
0.173993416,5578.125,0.634304441,5578.125,0.22150233
0.02563685,5601.5625,0.552847537,5601.5625,0.2213688
0.240327782,5625.0,0.279287747,5625.0,0.2212345
0.338285667,5648.4375,0.114447176,5648.4375,0.22110027
0.420218403,5671.875,0.250457515,5671.875,0.22096492
0.538787666,5695.3125,0.636502419,5695.3125,0.22082844
0.475422852,5718.75,0.587340294,5718.75,0.22069444
0.3621331,5742.1875,0.504794888,5742.1875,0.22056076
0.218117055,5765.625,0.96075571,5765.625,0.22042511
0.572770218,5789.0625,0.643704205,5789.0625,0.2202904
0.23011618,5812.5,0.367935098,5812.5,0.22015844
0.271667629,5835.9375,0.042871243,5835.9375,0.22002506
0.14557009,5859.375,0.400299723,5859.375,0.21988973
0.06738817,5882.8125,0.560867368,5882.8125,0.21975496
0.156443883,5906.25,0.594682876,5906.25,0.21961999
0.112059765,5929.6875,0.531669336,5929.6875,0.21948595
0.0625002,5953.125,0.914940144,5953.125,0.21935019
0.521655784,5976.5625,0.350440808,5976.5625,0.21921599
0.262281492,6000.0,0.289977351,6000.0,0.21908285
0.216330607,6023.4375,0.332891833,6023.4375,0.21894841
0.108394017,6046.875,0.09458854,6046.875,0.21881531
0.107739634,6070.3125,0.822064165,6070.3125,0.21867801
0.255427399,6093.75,0.669450331,6093.75,0.21854351
0.089291642,6117.1875,0.414485677,6117.1875,0.21841073
